origin_date,location,regime
2017-01-21,HHS Region 8,growing
2017-01-21,HHS Region 9,declining
2017-01-21,US National,growing
2017-01-28,HHS Region 1,growing
2017-01-28,HHS Region 10,growing
2017-01-28,HHS Region 2,peaking
2017-01-28,HHS Region 3,growing
2017-01-28,HHS Region 4,peaking
2017-01-28,HHS Region 5,growing
2017-01-28,HHS Region 6,growing
2017-01-28,HHS Region 7,peaking
2017-01-28,HHS Region 8,peaking
2017-01-28,HHS Region 9,growing
2017-01-28,US National,growing
2017-02-04,HHS Region 1,growing
2017-02-04,HHS Region 10,growing
2017-02-04,HHS Region 2,growing
2017-02-04,HHS Region 3,growing
2017-02-04,HHS Region 4,growing
2017-02-04,HHS Region 5,growing
2017-02-04,HHS Region 6,growing
2017-02-04,HHS Region 7,growing
2017-02-04,HHS Region 8,peaking
2017-02-04,HHS Region 9,growing
2017-02-04,US National,growing
2017-02-11,HHS Region 1,growing
2017-02-11,HHS Region 10,declining
2017-02-11,HHS Region 2,growing
2017-02-11,HHS Region 3,growing
2017-02-11,HHS Region 4,growing
2017-02-11,HHS Region 5,growing
2017-02-11,HHS Region 6,growing
2017-02-11,HHS Region 7,growing
2017-02-11,HHS Region 8,peaking
2017-02-11,HHS Region 9,growing
2017-02-11,US National,growing
2017-02-18,HHS Region 1,peaking
2017-02-18,HHS Region 10,declining
2017-02-18,HHS Region 2,peaking
2017-02-18,HHS Region 3,growing
2017-02-18,HHS Region 4,growing
2017-02-18,HHS Region 5,growing
2017-02-18,HHS Region 6,peaking
2017-02-18,HHS Region 7,peaking
2017-02-18,HHS Region 8,growing
2017-02-18,HHS Region 9,peaking
2017-02-18,US National,peaking
2017-02-25,HHS Region 1,peaking
2017-02-25,HHS Region 10,declining
2017-02-25,HHS Region 2,peaking
2017-02-25,HHS Region 3,peaking
2017-02-25,HHS Region 4,growing
2017-02-25,HHS Region 5,peaking
2017-02-25,HHS Region 6,peaking
2017-02-25,HHS Region 7,peaking
2017-02-25,HHS Region 8,peaking
2017-02-25,HHS Region 9,declining
2017-02-25,US National,peaking
2017-03-04,HHS Region 1,peaking
2017-03-04,HHS Region 10,declining
2017-03-04,HHS Region 2,declining
2017-03-04,HHS Region 3,peaking
